1 0.000000 exp
2 0.000000 exp
3 0.000000 exp
4 0.000000 exp
5 0.000000 exp
6 0.000000 exp
7 0.000000 exp
8 0.000000 exp
9 0.000486 exp
10 0.147987 exp
11 0.472270 exp
12 0.266878 exp
13 0.083015 exp
14 0.021940 exp
15 0.005562 exp
16 0.001395 exp
17 0.000349 exp
18 0.000087 exp
19 0.000022 exp
20 0.000005 exp
21 0.000001 exp
22 0.000000 exp
23 0.000000 exp
24 0.000000 exp
25 0.000000 exp
26 0.000000 exp
27 0.000000 exp
8 0.000000 obs
9 0.000480005 obs
10 0.147499 obs
11 0.472788 obs
12 0.26678 obs
13 0.0831958 obs
14 0.0219452 obs
15 0.00547205 obs
16 0.00138001 obs
17 0.000342003 obs
18 7.90008e-05 obs
19 2.30002e-05 obs
20 5.00005e-06 obs
21 5.00005e-06 obs
22 2.00002e-06 obs
23 2.00002e-06 obs
24 2.00002e-06 obs
